Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
405,Green Gold TV - Official Channel,20000000,9715291883,Film & Animation,1476,India,IN,Entertainment,70278000,0,0,0,0,2011,Jul,1,28.1,20.593684,78.96288
406,Gusttavo Lima Oficial,19900000,13917423958,Music,416,Brazil,BR,Music,214803000,53700,859200,644400,10300000,2010,Nov,9,51.3,-14.235004,-51.92528
407,HaerteTest,19800000,3234880084,Science & Technology,1411,Germany,DE,Tech,5650000,1400,22600,17000,271200,2011,Sep,6,70.2,51.165691,10.451526
408,Crafty Panda,19800000,5759442450,People & Blogs,760,United States,US,Entertainment,6137000,1500,24500,18400,294600,2017,Dec,3,88.2,37.09024,-95.712891
409,SOMOY TV,19800000,12293479945,News & Politics,9930,United States,US,News,16229,4,65,49,779,2013,Nov,16,88.2,37.09024,-95.712891
410,JennaMarbles,19700000,1803249241,Comedy,250,United States,US,Comedy,3769000,942,15100,11300,180900,2010,Feb,16,88.2,37.09024,-95.712891
411,Troom Troom Es,19700000,7452667615,People & Blogs,2912,nan,nan,Howto,29387000,7300,117500,88200,1400000,2016,Feb,5,nan,nan,nan
412,Official Pink Panther,19700000,10955619815,Film & Animation,1,United States,US,Games,nan,0,0,0,0,2011,Oct,6,88.2,37.09024,-95.712891
413,Britain's Got Talent,19700000,11323617496,Entertainment,4225,United Kingdom,GB,Entertainment,54192000,13500,216800,162600,2600000,2008,Apr,12,60,55.378051,-3.435973
414,SCTV,19700000,9808676159,Entertainment,267,United Kingdom,GB,Music,336,0.08,1,1,16,2006,Mar,25,60,55.378051,-3.435973
415,AS Gaming,19600000,2851024430,Gaming,17,United States,US,Games,23,0.01,0.09,0.07,1,2009,Mar,5,88.2,37.09024,-95.712891
416,Sony AATH,19600000,13930021471,Shows,18661,United States,US,Entertainment,274212000,68600,1100000,822600,13200000,2013,Nov,13,88.2,37.09024,-95.712891
417,tabii Urdu,19600000,8779729549,Entertainment,1306,Turkey,TR,Entertainment,110806000,27700,443200,332400,5300000,2020,Apr,17,23.9,38.963745,35.243322
418,DaFuq!?Boom!,19600000,7906181776,Film & Animation,214,United States,US,Entertainment,2304000000,576000,9200000,6900000,110600000,2016,Jun,6,88.2,37.09024,-95.712891
