Rank_num,Youtuber,Subscribers,Video_views,Category,Uploads,Country,Abbreviation,Channel_type,Video_views_for_the_last_30_days,Lowest_monthly_earnings,Highest_monthly_earnings,Lowest_yearly_earnings,Highest_yearly_earnings,Created_year,Created_month,Created_date,Gross_tertiary_education_enrollment_pct,Latitude,Longitude
127,KHANDESHI MOVIES,33500000,11405809704,Comedy,217,India,IN,Comedy,24736000.0,6200.0,98900.0,74200.0,1200000,2013.0,Nov,11.0,28.1,20.593684,78.96288
128,NoCopyrightSounds,33400000,10530729078,Music,1331,United Kingdom,GB,Music,55654000.0,13900.0,222600.0,167000.0,2700000,2011.0,Aug,14.0,60.0,55.378051,-3.435973
129,CVS 3D Rhymes  Kids Songs,33400000,20269857567,Education,338,India,IN,Education,136084000.0,34000.0,544300.0,408300.0,6500000,2008.0,Aug,26.0,28.1,20.593684,78.96288
130,Ricis Official,33300000,5994136760,People  Blogs,2736,Indonesia,ID,Entertainment,157101000.0,39300.0,628400.0,471300.0,7500000,2016.0,Jan,15.0,36.3,-0.789275,113.921327
131,BabyBus  Kids Songs and Cartoons,32800000,26355088167,Education,2122,United States,US,Education,127498000.0,31900.0,510000.0,382500.0,6100000,2016.0,Jul,15.0,88.2,37.09024,-95.712891
132,Eros Now Music,32700000,17853798780,Entertainment,1521,India,IN,Entertainment,20263000.0,5100.0,81100.0,60800.0,972600,2012.0,Mar,14.0,28.1,20.593684,78.96288
134,DisneyMusicVEVO,32700000,28516250629,Music,2068,United States,US,Music,329861000.0,82500.0,1300000.0,989600.0,15800000,2010.0,May,20.0,88.2,37.09024,-95.712891
135,The Weeknd,32600000,23379969006,Music,169,Canada,CA,Music,373828000.0,93500.0,1500000.0,1100000.0,17900000,2011.0,Feb,25.0,68.9,56.130366,-106.346771
137,KAROL G,32100000,18699145555,Music,134,Colombia,CO,Music,465647000.0,116400.0,1900000.0,1400000.0,22400000,2013.0,Mar,14.0,55.3,4.570868,-74.297333
138,Mr Bean,32100000,10602236110,Shows,3091,United Kingdom,GB,Comedy,56534000.0,14100.0,226100.0,169600.0,2700000,2006.0,Jan,4.0,60.0,55.378051,-3.435973
139,rezendeevil,32100000,13061739758,Gaming,11882,Brazil,BR,Entertainment,44505000.0,11100.0,178000.0,133500.0,2100000,2012.0,Feb,12.0,51.3,-14.235004,-51.92528
140,StarPlus,32000000,26800674545,Entertainment,44892,India,IN,Entertainment,1667000000.0,416800.0,6700000.0,5000000.0,80000000,2006.0,May,19.0,28.1,20.593684,78.96288
142,GMA  Network,31900000,19428308461,Entertainment,93311,Philippines,PH,Entertainment,798510000.0,199600.0,3200000.0,2400000.0,38300000,2006.0,Nov,20.0,35.5,12.879721,121.774017
143,GENIAL,31800000,6762424690,Howto  Style,6734,Mexico,MX,Howto,31455000.0,7900.0,125800.0,94400.0,1500000,2017.0,Jun,1.0,40.2,23.634501,-102.552784
144,MR INDIAN HACKER,31700000,5711208484,Science  Technology,929,India,IN,Tech,109125000.0,27300.0,436500.0,327400.0,5200000,2012.0,Jun,21.0,28.1,20.593684,78.96288
145,Worldwide Records Bhojpuri,31700000,16476978876,Music,6518,India,IN,Music,112648000.0,28200.0,450600.0,337900.0,5400000,2012.0,Mar,15.0,28.1,20.593684,78.96288
146,DONA ,31700000,21031745531,Entertainment,166,United States,US,Entertainment,153280000.0,38300.0,613100.0,459800.0,7400000,2018.0,Apr,5.0,88.2,37.09024,-95.712891
147,Dream,31700000,2930015381,Gaming,116,United States,US,Games,27022000.0,6800.0,108100.0,81100.0,1300000,2014.0,Feb,8.0,88.2,37.09024,-95.712891
148,Lucas and Marcus,31600000,11615848291,Entertainment,1321,United States,US,Entertainment,312099000.0,78000.0,1200000.0,936300.0,15000000,2011.0,Jan,19.0,88.2,37.09024,-95.712891
149,JustinBieberVEVO,31600000,26583873105,Music,204,United States,US,Music,105126000.0,26300.0,420500.0,315400.0,5000000,2009.0,Sep,26.0,88.2,37.09024,-95.712891
151,Peppa Pig  Official Channel,31400000,22919271731,Film  Animation,3589,United Kingdom,GB,Education,244925000.0,61200.0,979700.0,734800.0,11800000,2013.0,Oct,9.0,60.0,55.378051,-3.435973
152,YOLO AVENTURAS,31200000,9673649438,People  Blogs,65,Venezuela,VE,Comedy,3589.0,0.9,14.0,11.0,172,2018.0,Dec,16.0,79.3,6.42375,-66.58973
153,The Tonight Show Starring Jimmy Fallon,31200000,17111726160,Comedy,8976,United States,US,Comedy,22511000.0,0.0,0.0,0.0,0,2006.0,Jan,8.0,88.2,37.09024,-95.712891
154,TheDonato,31200000,6187804950,Entertainment,3027,Argentina,AR,Games,190679000.0,47700.0,762700.0,572000.0,9200000,2015.0,Feb,17.0,90.0,-38.416097,-63.616672
